"","cty_code","commodity","year","net_value","cif_charges","gross_value","quantity","price"
"1",1220,302120003,2010,416262480,3653174,419915663,69898357,6.00751835983784
"2",3370,302120003,2010,10482134,1640322,12122456,1544786,7.84733678321787
"3",3570,302120003,2010,249966,19196,269162,30197,8.91353445706527
"4",4000,302120003,2010,16384,3660,20044,1467,13.6632583503749
"5",4039,302120003,2010,3256949,594625,3851574,408397,9.43095566323945
"6",4091,302120003,2010,63560076,19305870,82865946,9062605,9.14372258307628
"7",4120,302120003,2010,73819756,16750199,90569955,10358147,8.74383758021584
"8",4190,302120003,2010,4871206,927081,5798287,624235,9.28862848126106
"9",4210,302120003,2010,8378,3282,11660,1005,11.6019900497512
"10",4279,302120003,2010,4083,1622,5705,649,8.7904468412943
"11",6021,302120003,2010,136835,60345,197180,20410,9.6609505144537
"12",6141,302120003,2010,2297123,1732434,4029557,275721,14.6146176751136
"13",1220,707002000,2010,8057723,97978,8155701,3705134,2.20118921474905
"14",2010,707002000,2010,99397997,7396450,106794446,192627044,0.554410449240969
"15",2150,707002000,2010,2772871,1742738,4515609,12898266,0.350094268485392
"16",2230,707002000,2010,1361113,24484,1385597,457648,3.02764788658532
"17",2470,707002000,2010,1085907,262487,1348394,931731,1.44719237634038
"18",4700,707002000,2010,246770,240221,486991,159200,3.05898869346734
"19",1220,801320000,2010,173660,1116,174776,26438,6.61078750283683
"20",2010,801320000,2010,19518,171,19689,2205,8.92925170068027
"21",2150,801320000,2010,17450,5404,22854,2364,9.66751269035533
"22",3010,801320000,2010,88439,1658,90097,19254,4.67939129531526
"23",3330,801320000,2010,88000,3000,91000,15966,5.69961167480897
"24",3350,801320000,2010,418422,10892,429314,79832,5.3777182082373
"25",3510,801320000,2010,128244575,2631617,130876192,23335149,5.60854323235733
"26",4210,801320000,2010,135450,1501,136951,31750,4.31341732283465
"27",5081,801320000,2010,2160,3,2163,579,3.73575129533679
"28",5330,801320000,2010,184342299,3554753,187897051,30641950,6.13202002483523
"29",5420,801320000,2010,304779,6286,311065,52476,5.92775745102523
"30",5490,801320000,2010,4880337,120435,5000772,642029,7.78901264584622
"31",5520,801320000,2010,340411025,7449091,347860115,58312822,5.96541383299886
"32",5590,801320000,2010,689550,14502,704052,126373,5.571221700838
"33",5600,801320000,2010,6901833,157509,7059342,1074351,6.5707966949349
"34",5650,801320000,2010,237912,10001,247913,156400,1.58512148337596
"35",5700,801320000,2010,1214031,25121,1239152,176815,7.00818369482227
"36",5820,801320000,2010,58965,1090,60055,3199,18.7730540793998
"37",7480,801320000,2010,3436197,77723,3513920,789287,4.45201808721036
"38",7490,801320000,2010,510371,22875,533246,97572,5.46515393760505
"39",7530,801320000,2010,3253943,61195,3315138,635039,5.22036914268258
"40",7600,801320000,2010,62622,2,62624,10954,5.71699835676465
"41",7790,801320000,2010,1849784,42866,1892650,300316,6.30219502124429
"42",7830,801320000,2010,5216523,96835,5313358,926136,5.73712500107975
"43",7870,801320000,2010,9066577,115555,9182132,1556095,5.9007528460666
"44",7910,801320000,2010,554750,7000,561750,97752,5.74668548981095
"45",1220,901210030,2010,195658138,5961234,201619366,21068946,9.56950414130826
"46",2010,901210030,2010,2793833,12203,2806036,932510,3.00912161799873
"47",2050,901210030,2010,99257,21209,120466,29371,4.10152871880426
"48",2110,901210030,2010,362191,18929,381120,78865,4.83256197299182
"49",2150,901210030,2010,114555,6097,120652,20085,6.00706995270102
"50",2190,901210030,2010,4997,1138,6135,1950,3.14615384615385
"51",2230,901210030,2010,102586,18535,121121,21499,5.63379692078701
"52",2250,901210030,2010,25214,4735,29949,3674,8.15160587915079
"53",2410,901210030,2010,200484,14049,214533,15343,13.9824675747898
"54",2470,901210030,2010,457900,23522,481422,88174,5.45990881665797
"55",2740,901210030,2010,5646,906,6552,598,10.9565217391304
"56",3010,901210030,2010,19669747,381650,20051397,2403236,8.34349893227298
"57",3310,901210030,2010,40559,1563,42122,1613,26.1140731556107
"58",3330,901210030,2010,10914,2281,13195,1023,12.8983382209189
"59",3370,901210030,2010,2981,509,3490,958,3.64300626304802
"60",3510,901210030,2010,7243894,208146,7452040,1098841,6.78172729266564
"61",3530,901210030,2010,6390,203,6593,293,22.5017064846416
"62",4010,901210030,2010,320544,44041,364585,56214,6.48566193474935
"63",4039,901210030,2010,10374,459,10833,606,17.8762376237624
"64",4050,901210030,2010,27607,2852,30459,3264,9.33180147058824
"65",4120,901210030,2010,5076078,155542,5231620,335410,15.597686413643
"66",4190,901210030,2010,14992,972,15964,858,18.6060606060606
"67",4210,901210030,2010,1405095,76512,1481607,220356,6.72369710831563
"68",4231,901210030,2010,990462,41968,1032430,99875,10.3372215269086
"69",4279,901210030,2010,402520,55248,457768,25142,18.2073025216769
"70",4280,901210030,2010,6402522,522199,6924721,882163,7.84970691357493
"71",4330,901210030,2010,48817,10287,59104,23600,2.50440677966102
"72",4419,901210030,2010,36607157,757323,37364477,812622,45.9801445198383
"73",4550,901210030,2010,188514,11497,200011,31193,6.41204757477639
"74",4700,901210030,2010,402116,6022,408138,40994,9.95604234766063
"75",4710,901210030,2010,668232,19987,688219,76513,8.9947982695751
"76",4759,901210030,2010,28600868,1299218,29900086,3104067,9.6325517458225
"77",4791,901210030,2010,202742,12507,215249,44427,4.84500416413442
"78",4793,901210030,2010,1130186,78956,1209142,224285,5.39109614998774
"79",4794,901210030,2010,70844,8965,79809,14322,5.57247591118559
"80",4801,901210030,2010,266372,18400,284772,60361,4.71781448286145
"81",4804,901210030,2010,4549,2753,7302,851,8.58049353701528
"82",4840,901210030,2010,2007293,68695,2075988,171990,12.070399441828
"83",4850,901210030,2010,2160,160,2320,45,51.5555555555556
"84",4890,901210030,2010,202062,7641,209703,21247,9.86976984986116
"85",4910,901210030,2010,87718,1670,89388,4450,20.087191011236
"86",5020,901210030,2010,34505,2857,37362,5339,6.99793968908035
"87",5040,901210030,2010,774685,15473,790158,103781,7.61370578429578
"88",5081,901210030,2010,44253,1009,45262,9031,5.01184807883955
"89",5110,901210030,2010,41900,14550,56450,5308,10.6348907309721
"90",5170,901210030,2010,20443,4983,25426,12154,2.09198617739016
"91",5330,901210030,2010,317401,38795,356196,70783,5.032225251826
"92",5490,901210030,2010,33518,2958,36476,8632,4.225671918443
"93",5520,901210030,2010,1550083,89719,1639802,435042,3.76929583810299
"94",5530,901210030,2010,2183,1555,3738,157,23.8089171974522
"95",5570,901210030,2010,449387,48616,498003,201277,2.4742171236654
"96",5590,901210030,2010,94042,4284,98326,12211,8.05224797313897
"97",5600,901210030,2010,87181,5167,92348,6129,15.0673845651819
"98",5650,901210030,2010,20102,2191,22293,4556,4.89310798946444
"99",5700,901210030,2010,620765,59704,680469,100416,6.77649976099426
"100",5800,901210030,2010,6942,590,7532,1439,5.23419041000695
"101",5830,901210030,2010,3900,500,4400,135,32.5925925925926
"102",5880,901210030,2010,514557,22772,537329,38964,13.7903962632173
"103",6141,901210030,2010,5000,650,5650,90,62.7777777777778
"104",7290,901210030,2010,176566,10701,187267,17341,10.7990888645407
"105",7440,901210030,2010,5115,512,5627,393,14.3180661577608
"106",7643,901210030,2010,29681,3101,32782,5275,6.2145971563981
"107",7690,901210030,2010,547706,11861,559567,171039,3.27157548863125
"108",7910,901210030,2010,78544,2858,81402,3101,26.2502418574653
"109",1220,2.501e+09,2010,118737493,6830563,125568056,4239465,29.6188448306567
"110",2010,2.501e+09,2010,28189024,3526948,31715972,1000584,31.6974606829612
"111",2050,2.501e+09,2010,5386,2,5388,18,299.333333333333
"112",2110,2.501e+09,2010,7920,1500,9420,20,471
"113",2320,2.501e+09,2010,2500,500,3000,1,3000
"114",2360,2.501e+09,2010,16533900,9145520,25679420,934996,27.4647378170602
"115",2470,2.501e+09,2010,877456,110000,987456,22011,44.8619326700286
"116",3010,2.501e+09,2010,992388,178408,1170796,4705,248.840807651435
"117",3330,2.501e+09,2010,4423051,9902279,14325330,405677,35.3121572088139
"118",3370,2.501e+09,2010,96080626,111979524,208060149,4999449,41.6166159510778
"119",3510,2.501e+09,2010,4289678,1690279,5979957,208093,28.7369445392204
"120",3570,2.501e+09,2010,43224,9129,52353,45,1163.4
"121",4000,2.501e+09,2010,13822,494,14316,67,213.671641791045
"122",4010,2.501e+09,2010,36435,4999,41434,116,357.189655172414
"123",4099,2.501e+09,2010,347095,18881,365976,783,467.402298850575
"124",4120,2.501e+09,2010,915613,69875,985488,8797,112.0254632261
"125",4210,2.501e+09,2010,11119008,3444411,14563419,362322,40.1946859423386
"126",4231,2.501e+09,2010,887461,355453,1242914,3214,386.718730553827
"127",4279,2.501e+09,2010,6795302,1056046,7851348,7889,995.227278489035
"128",4280,2.501e+09,2010,1798857,175852,1974709,6627,297.979326995624
"129",4330,2.501e+09,2010,15108,298,15406,14,1100.42857142857
"130",4419,2.501e+09,2010,6710,512,7222,2,3611
"131",4550,2.501e+09,2010,3622,594,4216,1,4216
"132",4621,2.501e+09,2010,11168,517,11685,8,1460.625
"133",4700,2.501e+09,2010,4158810,975186,5133996,44281,115.941284072175
"134",4710,2.501e+09,2010,218517,53148,271665,526,516.473384030418
"135",4759,2.501e+09,2010,3971915,553947,4525862,68223,66.3392404321123
"136",4791,2.501e+09,2010,23442,1652,25094,21,1194.95238095238
"137",4792,2.501e+09,2010,51386,4029,55415,35,1583.28571428571
"138",4793,2.501e+09,2010,2396,139,2535,6,422.5
"139",4840,2.501e+09,2010,47500,6074,53574,54,992.111111111111
"140",4890,2.501e+09,2010,27341,19002,46343,155,298.987096774194
"141",4910,2.501e+09,2010,286270,12447,298717,3801,78.5890555117074
"142",5020,2.501e+09,2010,289670,253625,543295,18300,29.6882513661202
"143",5040,2.501e+09,2010,5850,234,6084,6,1014
"144",5081,2.501e+09,2010,4621135,492962,5114097,9880,517.621153846154
"145",5330,2.501e+09,2010,435423,24144,459567,1986,231.40332326284
"146",5350,2.501e+09,2010,945886,119054,1064940,1630,653.337423312883
"147",5360,2.501e+09,2010,3910,288,4198,1,4198
"148",5490,2.501e+09,2010,8413,175,8588,45,190.844444444444
"149",5520,2.501e+09,2010,218954,17864,236818,1640,144.401219512195
"150",5570,2.501e+09,2010,8630,546,9176,1,9176
"151",5600,2.501e+09,2010,51293,3108,54401,243,223.872427983539
"152",5700,2.501e+09,2010,2717247,332287,3049534,9139,333.683553999343
"153",5800,2.501e+09,2010,1718689,174926,1893615,8816,214.792990018149
"154",5820,2.501e+09,2010,14556,2031,16587,8,2073.375
"155",5830,2.501e+09,2010,2280,162,2442,3,814
"156",5880,2.501e+09,2010,95899,37798,133697,531,251.783427495292
"157",6021,2.501e+09,2010,3586282,477115,4063397,118108,34.4040793172351
"158",6141,2.501e+09,2010,103272,26443,129715,186,697.39247311828
"159",6150,2.501e+09,2010,6323,150,6473,1,6473
