year,gdp_per_capita,gdp_per_capita_defl,cty_code
1989,17912.96,14445.936,4279
1990,22046.99,16868.395,4279
1991,21984.99,16141.696,4279
1992,24090.71,17170.855,4279
1993,22632.31,15662.498,4279
1994,23810.08,16066.181,4279
1995,27238.24,17872.861,4279
1996,27152.86,17305.84,4279
1997,24487.66,15257.108,4279
1998,25230.31,15478.718,4279
1999,24930.36,14964.201,4279
2000,22600.49,13124.559,4279
2001,22600.48,12761.423,4279
2002,24413.99,13570.868,4279
2003,29876.7,16237.337,4279
2004,34019.75,18009.396,4279
2005,35107.47,17976.174,4279
2006,36772.17,18240.164,4279
2007,41849.57,20183.836,4279
2008,45789.29,21267.373,4279
2009,42046.84,19598.875,4279
2010,40943.4,18776.553,4279
2011,44140.2,19623.188,4279
2012,41223.31,17954.873,4279
1989,16132.5,13010.08,4210
1990,19767.94,15124.668,4210
1991,20201.82,14832.467,4210
1992,22191,15816.821,4210
1993,21430.99,14831.135,4210
1994,22881.25,15439.44,4210
1995,27126.46,17799.516,4210
1996,26922.47,17159,4210
1997,24791.02,15446.118,4210
1998,25670.2,15748.589,4210
1999,26055.94,15639.82,4210
2000,24249.91,14082.41,4210
2001,24990.55,14110.982,4210
2002,27206.45,15123.097,4210
2003,33241.45,18066.006,4210
2004,37507.13,19855.549,4210
2005,39189.91,20066.518,4210
2006,41497.7,20584.176,4210
2007,47838.63,23072.33,4210
2008,53198.73,24708.773,4210
2009,48300.07,22513.631,4210
2010,46861.68,21490.662,4210
2011,49932.22,22198.117,4210
2012,46010.95,20040.137,4210
1989,15705.89,12666.04,4280
1990,19592.68,14990.575,4280
1991,22692.73,16661.328,4280
1992,25671.42,18297.52,4280
1993,24742.34,17122.727,4280
1994,26439.46,17840.391,4280
1995,30920.73,20289.193,4280
1996,29767.35,18972.182,4280
1997,26323.24,16400.771,4280
1998,26589.97,16312.865,4280
1999,25994.91,15603.188,4280
2000,23019.52,13367.897,4280
2001,22862.72,12909.497,4280
2002,24413.62,13570.662,4280
2003,29428.65,15993.831,4280
2004,33089.57,17516.979,4280
2005,33603.03,17205.852,4280
2006,35274.92,17497.48,4280
2007,40463.14,19515.168,4280
2008,44334.37,20591.619,4280
2009,40388.15,18825.727,4280
2010,40493.05,18570.021,4280
2011,44405.33,19741.055,4280
2012,41865.52,18234.588,4280
1989,16127.82,13006.307,4759
1990,20111.95,15387.874,4759
1991,21226.03,15584.457,4759
1992,22512.31,16045.838,4759
1993,18087.21,12517.1,4759
1994,18648.74,12583.495,4759
1995,19919.85,13070.769,4759
1996,22282.9,14201.977,4759
1997,21096.53,13144.255,4759
1998,21547.92,13219.583,4759
1999,21257.87,12759.826,4759
2000,19451.5,11295.877,4759
2001,19744.64,11148.865,4759
2002,21572.8,11991.552,4759
2003,26471.98,14386.945,4759
2004,30019.91,15891.959,4759
2005,30607.34,15671.961,4759
2006,31909.23,15827.991,4759
2007,36025.61,17374.969,4759
2008,38882.76,18059.555,4759
2009,35250.64,16431.031,4759
2010,34126.26,15650.227,4759
2011,36227.33,16105.402,4759
2012,33115.01,14423.291,4759
1989,15171.88,12235.387,4120
1990,17900.11,13695.571,4120
1991,18626.91,13676.146,4120
1992,19325.67,13774.533,4120
1993,17298.24,11971.1,4120
1994,18679.57,12604.298,4120
1995,20353.52,13355.329,4120
1996,21373.35,13622.276,4120
1997,23742.74,14792.984,4120
1998,25275.24,15506.282,4120
1999,25875.93,15531.771,4120
2000,25415.29,14759.17,4120
2001,25132.28,14191.011,4120
2002,27370.06,15214.042,4120
2003,31520.54,17130.729,4120
2004,37129.76,19655.775,4120
2005,38584.96,19756.764,4120
2006,41043.58,20358.918,4120
2007,46866.34,22603.398,4120
2008,44131.12,20497.217,4120
2009,35885.37,16726.891,4120
2010,36891.37,16918.301,4120
2011,39286.35,17465.336,4120
2012,39160.58,17056.447,4120
1989,10624.69,8568.2979,4190
1990,13478.01,10312.174,4190
1991,13583.6,9973.2744,4190
1992,15147.74,10796.679,4190
1993,13959.02,9660.2207,4190
1994,15266.86,10301.525,4190
1995,18860.13,12375.414,4190
1996,20516.34,13076.063,4190
1997,22209.16,13837.482,4190
1998,23841.08,14626.43,4190
1999,25847.66,15514.802,4190
2000,25759.86,14959.269,4190
2001,27359.37,15448.543,4190
2002,31515.3,17518.232,4190
2003,39959.31,21717.016,4190
2004,46110.44,24409.975,4190
2005,49090.31,25135.846,4190
2006,52675.44,26128.689,4190
2007,59405.71,28651.074,4190
2008,59146.02,27471.063,4190
2009,49858.39,23239.996,4190
2010,46056.37,21121.348,4190
2011,49452.99,21985.068,4190
2012,45984.37,20028.561,4190
1989,21454.88,17302.322,4099
1990,26451.46,20238.303,4099
1991,26560.9,19501.395,4099
1992,29095.51,20738.068,4099
1993,27144.62,18785.203,4099
1994,29556.47,19943.637,4099
1995,34891.59,22894.746,4099
1996,35123.93,22386.189,4099
1997,32309.5,20130.529,4099
1998,32796.45,20120.521,4099
1999,32735.71,19649.285,4099
2000,30033.99,17441.342,4099
2001,29999.9,16939.525,4099
2002,32389.91,18004.398,4099
2003,39495.21,21464.787,4099
2004,45339.84,24002.033,4099
2005,47617.12,24381.525,4099
2006,50553.49,25076.135,4099
2007,57171.43,27573.492,4099
2008,62800.3,29168.336,4099
2009,56345.41,26263.727,4099
2010,56576.98,25946.076,4099
2011,60010.5,26678.568,4099
2012,56426.45,24576.623,4099
1989,7387.05,5957.2983,4840
1990,9073.879999999999,6942.5254,4840
1991,9702.81,7123.9429,4840
1992,10585.18,7544.6758,4840
1993,9807.41,6787.1348,4840
1994,10387.83,7009.332,4840
1995,12352.02,8105.0005,4840
1996,12949.18,8253.1426,4840
