partner_description,year,population,cty_code
France,1950,41879.60546875,4279
France,1951,42071.02734375,4279
France,1952,42365.7578125,4279
France,1953,42724.453125,4279
France,1954,43118.109375,4279
France,1955,43528.06640625,4279
France,1956,43946.53515625,4279
France,1957,44376.07421875,4279
France,1958,44827.94921875,4279
France,1959,45319.44140625,4279
France,1960,45865.69921875,4279
France,1961,46471.08203125,4279
France,1962,47121.57421875,4279
France,1963,47781.53515625,4279
France,1964,48402.8984375,4279
France,1965,48952.28125,4279
France,1966,49411.34375,4279
France,1967,49791.76953125,4279
France,1968,50126.89453125,4279
France,1969,50466.18359375,4279
France,1970,50843.828125,4279
France,1971,51273.9765625,4279
France,1972,51741.04296875,4279
France,1973,52214.015625,4279
France,1974,52647.6171875,4279
France,1975,53010.7265625,4279
France,1976,53293.03125,4279
France,1977,53509.578125,4279
France,1978,53685.484375,4279
France,1979,53857.609375,4279
France,1980,54053.22265625,4279
France,1981,54279.0390625,4279
France,1982,54528.40625,4279
France,1983,54799.05078125,4279
France,1984,55084.67578125,4279
France,1985,55379.921875,4279
France,1986,55686.609375,4279
France,1987,56005.44140625,4279
France,1988,56328.0546875,4279
France,1989,56643.34765625,4279
France,1990,56943.30078125,4279
France,1991,57226.5234375,4279
France,1992,57495.25390625,4279
France,1993,57749.8828125,4279
France,1994,57991.97265625,4279
France,1995,58224.05078125,4279
France,1996,58443.31640625,4279
France,1997,58652.7109375,4279
France,1998,58867.46484375,4279
France,1999,59107.73828125,4279
France,2000,59387.18359375,4279
France,2001,59711.9140625,4279
France,2002,60075.78125,4279
France,2003,60464.85546875,4279
France,2004,60858.65234375,4279
France,2005,61241.69921875,4279
France,2006,61609.9921875,4279
France,2007,61966.19140625,4279
France,2008,62309.52734375,4279
France,2009,62640.90234375,4279
France,2010,62961.13671875,4279
France,2011,63268.40625,4279
France,2012,63561.796875,4279
France,2013,63844.52734375,4279
France,2014,64121.25,4279
France,2015,64395.34375,4279
Netherlands,1950,10027.046875,4210
Netherlands,1951,10148.7138671875,4210
Netherlands,1952,10275.701171875,4210
Netherlands,1953,10407.107421875,4210
Netherlands,1954,10542.244140625,4210
Netherlands,1955,10680.6318359375,4210
Netherlands,1956,10822.017578125,4210
Netherlands,1957,10966.3583984375,4210
Netherlands,1958,11113.7763671875,4210
Netherlands,1959,11264.5009765625,4210
Netherlands,1960,11418.65234375,4210
Netherlands,1961,11576.0244140625,4210
Netherlands,1962,11735.896484375,4210
Netherlands,1963,11896.9423828125,4210
Netherlands,1964,12057.474609375,4210
Netherlands,1965,12216.1220703125,4210
Netherlands,1966,12372.1357421875,4210
Netherlands,1967,12525.2529296875,4210
Netherlands,1968,12675.17578125,4210
Netherlands,1969,12821.7861328125,4210
Netherlands,1970,12964.8798828125,4210
Netherlands,1971,13104.2158203125,4210
Netherlands,1972,13239.283203125,4210
Netherlands,1973,13369.326171875,4210
Netherlands,1974,13493.4599609375,4210
Netherlands,1975,13611.064453125,4210
Netherlands,1976,13722.2724609375,4210
Netherlands,1977,13827.3291015625,4210
Netherlands,1978,13925.9697265625,4210
Netherlands,1979,14017.9091796875,4210
Netherlands,1980,14103.279296875,4210
Netherlands,1981,14181.966796875,4210
Netherlands,1982,14255.05078125,4210
Netherlands,1983,14325.36328125,4210
Netherlands,1984,14396.6064453125,4210
Netherlands,1985,14471.5908203125,4210
Netherlands,1986,14551.0654296875,4210
Netherlands,1987,14634.787109375,4210
Netherlands,1988,14723.265625,4210
Netherlands,1989,14816.7509765625,4210
Netherlands,1990,14915.138671875,4210
Netherlands,1991,15019.18359375,4210
Netherlands,1992,15128.2880859375,4210
Netherlands,1993,15239.26171875,4210
Netherlands,1994,15347.7919921875,4210
Netherlands,1995,15450.802734375,4210
Netherlands,1996,15546.6474609375,4210
Netherlands,1997,15636.130859375,4210
Netherlands,1998,15721.626953125,4210
Netherlands,1999,15806.771484375,4210
Netherlands,2000,15894.015625,4210
Netherlands,2001,15984.365234375,4210
Netherlands,2002,16076.4267578125,4210
Netherlands,2003,16167.4208984375,4210
Netherlands,2004,16253.3974609375,4210
Netherlands,2005,16331.646484375,4210
Netherlands,2006,16401.10546875,4210
Netherlands,2007,16463.03125,4210
Netherlands,2008,16519.861328125,4210
Netherlands,2009,16575.173828125,4210
Netherlands,2010,16631.5703125,4210
Netherlands,2011,16689.86328125,4210
Netherlands,2012,16749.318359375,4210
Netherlands,2013,16809.15625,4210
Netherlands,2014,16868.01953125,4210
Netherlands,2015,16924.9296875,4210
Germany,1950,69786.2421875,4280
Germany,1951,70111.671875,4280
Germany,1952,70421.4609375,4280
Germany,1953,70720.71875,4280
Germany,1954,71015.6875,4280
Germany,1955,71313.7421875,4280
Germany,1956,71623.5703125,4280
Germany,1957,71955.0078125,4280
Germany,1958,72318.5,4280
Germany,1959,72724.2578125,4280
Germany,1960,73179.6640625,4280
Germany,1961,73686.4921875,4280
Germany,1962,74238.4921875,4280
Germany,1963,74820.390625,4280
Germany,1964,75410.765625,4280
Germany,1965,75990.734375,4280
Germany,1966,76558.015625,4280
Germany,1967,77106.875,4280
Germany,1968,77611,4280
Germany,1969,78038.2734375,4280
Germany,1970,78366.6015625,4280
Germany,1971,78584.78125,4280
Germany,1972,78700.1015625,4280
Germany,1973,78732.8828125,4280
Germany,1974,78713.9296875,4280
Germany,1975,78667.328125,4280
Germany,1976,78604.4765625,4280
Germany,1977,78524.7265625,4280
Germany,1978,78426.71875,4280
Germany,1979,78305.015625,4280
Germany,1980,78159.5234375,4280
Germany,1981,77990.3671875,4280
Germany,1982,77812.3515625,4280
Germany,1983,77657.453125,4280
Germany,1984,77566.7734375,4280
Germany,1985,77570.0078125,4280
Germany,1986,77671.875,4280
Germany,1987,77864.3828125,4280
Germany,1988,78146.9375,4280
Germany,1989,78514.7890625,4280
Germany,1990,78958.234375,4280
Germany,1991,79483.7421875,4280
Germany,1992,80075.9375,4280
Germany,1993,80676,4280
Germany,1994,81206.7890625,4280
Germany,1995,81612.8984375,4280
Germany,1996,81870.7734375,4280
Germany,1997,81993.828125,4280
Germany,1998,82010.1875,4280
Germany,1999,81965.828125,4280
Germany,2000,81895.921875,4280
Germany,2001,81809.4375,4280
Germany,2002,81699.828125,4280
Germany,2003,81569.484375,4280
Germany,2004,81417.7890625,4280
Germany,2005,81246.8046875,4280
Germany,2006,81055.90625,4280
Germany,2007,80854.515625,4280
Germany,2008,80665.90625,4280
Germany,2009,80519.6875,4280
Germany,2010,80435.3046875,4280
Germany,2011,80424.6640625,4280
Germany,2012,80477.953125,4280
Germany,2013,80565.859375,4280
Germany,2014,80646.265625,4280
Germany,2015,80688.546875,4280
Italy,1950,46598.6015625,4759
Italy,1951,47014.13671875,4759
Italy,1952,47398.59765625,4759
Italy,1953,47748.6875,4759
Italy,1954,48064.765625,4759
Italy,1955,48350.84765625,4759
Italy,1956,48614.86328125,4759
Italy,1957,48868.41015625,4759
Italy,1958,49125.9609375,4759
Italy,1959,49403.55859375,4759
Italy,1960,49714.9609375,4759
Italy,1961,50067.46484375,4759
Italy,1962,50458.27734375,4759
Italy,1963,50872.9765625,4759
Italy,1964,51289.90234375,4759
Italy,1965,51693.13671875,4759
Italy,1966,52076.7578125,4759
Italy,1967,52444.75,4759
Italy,1968,52802.703125,4759
Italy,1969,53160.0546875,4759
Italy,1970,53522.671875,4759
Italy,1971,53891.9453125,4759
Italy,1972,54262.0859375,4759
Italy,1973,54623.20703125,4759
Italy,1974,54961.92578125,4759
Italy,1975,55268.55078125,4759
Italy,1976,55539.1171875,4759
Italy,1977,55775.93359375,4759
Italy,1978,55983.296875,4759
Italy,1979,56168.375,4759
Italy,1980,56336.4453125,4759
Italy,1981,56489.62109375,4759
Italy,1982,56626.40234375,4759
Italy,1983,56744.3984375,4759
Italy,1984,56839.859375,4759
Italy,1985,56910.88671875,4759
Italy,1986,56956.63671875,4759
Italy,1987,56980.62109375,4759
Italy,1988,56990.64453125,4759
Italy,1989,56997.09375,4759
Italy,1990,57007.578125,4759
Italy,1991,57029.61328125,4759
Italy,1992,57062.76171875,4759
Italy,1993,57097.41015625,4759
Italy,1994,57119.1640625,4759
Italy,1995,57120.13671875,4759
Italy,1996,57091.90625,4759
Italy,1997,57044.61328125,4759
Italy,1998,57010.94140625,4759
Italy,1999,57035.25,4759
Italy,2000,57147.08203125,4759
Italy,2001,57359.1796875,4759
Italy,2002,57655.67578125,4759
Italy,2003,58002.00390625,4759
Italy,2004,58348.33203125,4759
Italy,2005,58657.35546875,4759
Italy,2006,58918.47265625,4759
Italy,2007,59138.59765625,4759
Italy,2008,59319.234375,4759
Italy,2009,59467.1953125,4759
Italy,2010,59588.0078125,4759
